SampleID,Location,Soil,Status,Planting,Breeding
1,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
2,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
3,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
4,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
5,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
6,Yunnan,Clay,Healthy,Monoculture,Lishu6
7,Yunnan,Clay,Healthy,Monoculture,Lishu6
8,Yunnan,Clay,Healthy,Monoculture,Lishu6
9,Yunnan,Clay,Healthy,Monoculture,Lishu6
10,Yunnan,Clay,Healthy,Monoculture,Lishu6
11,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
12,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
13,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
14,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
15,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
16,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
17,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
18,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
19,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
20,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
21,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
22,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
23,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
24,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
25,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
26,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
27,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
28,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
29,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
30,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
31,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
32,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
33,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
34,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
35,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
36,Yunnan,Clay,Healthy,Monoculture,Lishu6
37,Yunnan,Clay,Healthy,Monoculture,Lishu6
38,Yunnan,Clay,Healthy,Monoculture,Lishu6
39,Yunnan,Clay,Healthy,Monoculture,Lishu6
40,Yunnan,Clay,Healthy,Monoculture,Lishu6
41,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
42,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
43,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
44,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
